date,home_team,away_team,home_form,away_form,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goals_scored_avg_5,away_goals_scored_avg_5,home_draw_rate,away_draw_rate,home_rank_points,away_rank_points,rank_diff,home_elo,away_elo,elo_diff,home_squad_value_log,away_squad_value_log,squad_value_log_diff,home_attack_vs_away_def,away_attack_vs_home_def,h2h_home_winrate,h2h_avg_goals,is_neutral,outcome,home_goals,away_goals
1994-06-23,South Korea,Bolivia,0.5,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,38.0,35.0,3.0,1706.326796010399,1597.442555115105,108.88424089529394,6.515441400222898,6.0,0.5154414002228984,2.0,0.0,0.5,2.5,1,1,0.0,0.0
1994-06-24,Brazil,Cameroon,1.0,0.5,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,59.0,46.0,13.0,1830.291724849276,1682.4924927318527,147.79923211742334,7.492694762653628,6.0,1.4926947626536284,1.0,4.0,0.5,2.5,1,0,3.0,0.0
1994-06-24,Mexico,Republic of Ireland,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,51.0,53.0,-2.0,1789.3956786378635,1754.6315858438513,34.764092794012186,6.764956515616834,6.0,0.7649565156168343,0.0,1.0,0.5,2.5,1,0,2.0,1.0
1994-06-24,Sweden,Russia,0.5,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,55.0,50.0,5.0,1780.9433599986796,1733.5265508022558,47.416809196423856,7.163378311937407,6.0,1.1633783119374073,1.0,0.0,0.5,2.5,1,0,3.0,1.0
1994-06-25,Argentina,Nigeria,1.0,1.0,4.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,55.0,54.0,1.0,1791.5017130326855,1728.3826201243317,63.11909290835388,7.374547959171061,6.0,1.3745479591710614,8.0,6.0,0.5,2.5,1,0,2.0,1.0
1994-06-25,Belgium,Netherlands,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,44.0,59.0,-15.0,1697.690462763872,1846.1094044600225,-148.41894169615057,7.142609917947313,7.403351785225545,-0.2607418672782318,1.0,4.0,0.5,2.5,1,0,1.0,0.0
1994-06-25,Saudi Arabia,Morocco,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,44.0,-4.0,1716.9139114287354,1705.8317195865704,11.082191842165003,6.055710264300081,7.0499474121313295,-0.9942371478312486,1.0,0.0,0.5,2.5,1,0,2.0,1.0
1994-06-26,Bulgaria,Greece,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,44.0,41.0,3.0,1688.3756286597002,1662.2913027981513,26.084325861548905,6.0,6.0,0.0,0.0,0.0,0.5,2.5,1,0,4.0,0.0
1994-06-26,Switzerland,Colombia,0.8333333333333334,0.0,2.5,1.0,1.0,2.5,2.5,1.0,0.5,0.0,54.0,51.0,3.0,1735.9773888674536,1776.7376457424912,-40.76025687503761,7.03685941923498,6.959400104419156,0.07745931481582424,1.0,1.0,0.5,2.5,1,2,0.0,2.0
1994-06-26,United States,Romania,0.8333333333333334,0.3333333333333333,1.5,1.0,2.0,2.5,1.5,2.0,0.5,0.0,47.0,55.0,-8.0,1651.9182369260725,1804.2811884781893,-152.36295155211678,7.0347051967831815,6.0,1.0347051967831815,0.6,2.0,0.5,2.5,0,2,0.0,1.0
1994-06-27,Bolivia,Spain,0.3333333333333333,0.5,0.0,0.5,1.5,1.5,0.0,1.5,0.5,1.0,35.0,56.0,-21.0,1587.6480026782426,1790.5854744514365,-202.93747177319392,6.0,7.561222433405828,-1.5612224334058276,0.0,3.0,0.5,2.5,1,2,1.0,3.0
1994-06-27,Germany,South Korea,0.6666666666666666,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,60.0,38.0,22.0,1891.1436064943648,1714.0920357710904,177.05157072327438,7.516362252398438,6.515441400222898,1.0009208521755397,1.0,2.0,0.5,2.5,1,0,3.0,2.0
1994-06-28,Italy,Mexico,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.0,57.0,51.0,6.0,1815.2220419716373,1755.9191484598575,59.30289351177976,6.0,6.764956515616834,-0.7649565156168343,0.5,2.0,0.5,2.5,1,1,1.0,1.0
1994-06-28,Republic of Ireland,Norway,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,53.0,56.0,-3.0,1792.9484649693711,1782.4281691812012,10.52029578816996,6.0,7.326555098611935,-1.3265550986119354,2.0,0.5,0.5,2.5,1,1,0.0,0.0
1994-06-28,Russia,Cameroon,0.0,0.16666666666666666,0.5,2.5,1.0,2.5,0.5,1.0,0.0,0.5,50.0,46.0,4.0,1711.6723866632838,1690.7729732596088,20.899413403675,6.0,6.0,0.0,0.2,0.4,0.5,2.5,1,0,6.0,1.0
1994-06-28,Brazil,Sweden,1.0,0.8333333333333334,2.5,0.0,2.5,1.5,2.5,2.5,0.0,0.5,59.0,55.0,4.0,1852.145888988248,1772.6628794709236,79.48300951732449,7.492694762653628,7.163378311937407,0.3293164507162212,1.6666666666666667,5.0,0.5,2.5,1,1,1.0,1.0
1994-06-29,Belgium,Saudi Arabia,1.0,0.6666666666666666,1.0,0.0,1.5,1.5,1.0,1.5,0.0,0.0,44.0,40.0,4.0,1728.3933067522084,1697.5822947277807,30.811012024427782,7.142609917947313,6.055710264300081,1.0868996536472322,0.6666666666666666,3.0,0.5,2.5,1,2,0.0,1.0
1994-06-29,Morocco,Netherlands,0.0,0.3333333333333333,0.5,1.5,1.0,1.0,0.5,1.0,0.0,0.0,44.0,59.0,-15.0,1675.128875598234,1865.4410211609772,-190.31214556274335,7.0499474121313295,7.403351785225545,-0.35340437309421535,0.5,0.6666666666666666,0.5,2.5,1,2,1.0,2.0
1994-06-30,Argentina,Bulgaria,1.0,0.6666666666666666,3.0,0.5,2.0,1.5,3.0,2.0,0.0,0.0,55.0,44.0,11.0,1810.832204583946,1661.8149224440494,149.01728213989645,7.374547959171061,6.0,1.3745479591710614,2.0,4.0,0.5,2.5,1,2,0.0,2.0
1994-06-30,Greece,Nigeria,0.0,0.3333333333333333,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,41.0,54.0,-13.0,1642.960811246891,1754.9433263399824,-111.98251509309148,6.0,6.0,0.0,0.0,0.5,0.5,2.5,1,2,0.0,2.0
1994-07-02,Germany,Belgium,0.8333333333333334,0.5555555555555556,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,60.0,44.0,16.0,1882.6953153662942,1769.6491418453609,113.04617352093328,7.516362252398438,7.142609917947313,0.3737523344511251,3.3333333333333335,0.6666666666666666,0.5,2.5,1,0,3.0,2.0
